,power,speed
2018-05-18 14:10:05,0.0,66.78
2018-05-18 14:10:06,186.0,98.316
2018-05-18 14:10:07,186.0,105.12
2018-05-18 14:10:08,146.0,117.07199999999999
2018-05-18 14:10:09,146.0,128.124
2018-05-18 14:10:10,125.0,134.856
2018-05-18 14:10:11,111.0,139.212
2018-05-18 14:10:12,111.0,147.744
2018-05-18 14:10:13,108.0,156.42
2018-05-18 14:10:14,107.0,166.536
2018-05-18 14:10:15,107.0,171.71999999999997
2018-05-18 14:10:16,106.0,173.62800000000001
2018-05-18 14:10:17,104.0,176.4
2018-05-18 14:10:18,102.0,183.096
2018-05-18 14:10:19,102.0,186.19199999999998
2018-05-18 14:10:20,110.0,193.176
2018-05-18 14:10:21,107.0,195.12
2018-05-18 14:10:22,96.0,196.596
2018-05-18 14:10:23,102.0,202.788
2018-05-18 14:10:24,93.0,203.868
2018-05-18 14:10:25,93.0,206.60399999999998
2018-05-18 14:10:26,100.0,209.952
2018-05-18 14:10:27,104.0,214.02
2018-05-18 14:10:28,104.0,215.244
2018-05-18 14:10:29,97.0,218.268
2018-05-18 14:10:30,97.0,219.49200000000002
2018-05-18 14:10:31,99.0,223.30800000000002
2018-05-18 14:10:32,100.0,225.25199999999998
2018-05-18 14:10:33,107.0,228.6
2018-05-18 14:10:34,108.0,229.284
2018-05-18 14:10:35,109.0,229.284
2018-05-18 14:10:36,120.0,235.58399999999997
2018-05-18 14:10:37,127.0,237.024
2018-05-18 14:10:38,126.0,237.744
2018-05-18 14:10:39,113.0,240.696
2018-05-18 14:10:40,97.0,239.21999999999997
2018-05-18 14:10:41,89.0,238.464
2018-05-18 14:10:42,84.0,242.964
2018-05-18 14:10:43,89.0,249.264
2018-05-18 14:10:44,110.0,253.332
2018-05-18 14:10:45,128.0,254.16
2018-05-18 14:10:46,142.0,253.332
2018-05-18 14:10:47,144.0,255.852
2018-05-18 14:10:48,148.0,255.024
2018-05-18 14:10:49,144.0,257.544
2018-05-18 14:10:50,132.0,258.408
2018-05-18 14:10:51,116.0,261.036
2018-05-18 14:10:52,104.0,257.544
2018-05-18 14:10:53,98.0,257.544
2018-05-18 14:10:54,92.0,254.16
2018-05-18 14:10:55,101.0,255.852
2018-05-18 14:10:56,104.0,258.408
2018-05-18 14:10:57,110.0,261.036
2018-05-18 14:10:58,109.0,260.172
2018-05-18 14:10:59,118.0,264.59999999999997
2018-05-18 14:11:00,118.0,262.8
2018-05-18 14:11:01,116.0,264.59999999999997
2018-05-18 14:11:02,114.0,262.8
2018-05-18 14:11:03,114.0,264.59999999999997
2018-05-18 14:11:04,118.0,264.59999999999997
2018-05-18 14:11:05,102.0,264.59999999999997
2018-05-18 14:11:06,88.0,259.272
2018-05-18 14:11:07,78.0,259.272
2018-05-18 14:11:08,92.0,256.716
2018-05-18 14:11:09,94.0,264.59999999999997
2018-05-18 14:11:10,91.0,268.272
2018-05-18 14:11:11,94.0,265.536
2018-05-18 14:11:12,96.0,268.272
2018-05-18 14:11:13,107.0,269.20799999999997
2018-05-18 14:11:14,118.0,266.436
2018-05-18 14:11:15,124.0,266.436
2018-05-18 14:11:16,124.0,265.536
2018-05-18 14:11:17,120.0,265.536
2018-05-18 14:11:18,112.0,261.936
2018-05-18 14:11:19,106.0,264.59999999999997
2018-05-18 14:11:20,100.0,262.8
2018-05-18 14:11:21,96.0,260.172
2018-05-18 14:11:22,86.0,262.8
2018-05-18 14:11:23,84.0,262.8
2018-05-18 14:11:24,90.0,262.8
2018-05-18 14:11:25,95.0,261.036
2018-05-18 14:11:26,98.0,262.8
2018-05-18 14:11:27,105.0,258.408
2018-05-18 14:11:28,90.0,257.544
2018-05-18 14:11:29,103.0,257.544
2018-05-18 14:11:30,96.0,257.544
2018-05-18 14:11:31,96.0,260.172
2018-05-18 14:11:32,100.0,259.272
2018-05-18 14:11:33,94.0,259.272
2018-05-18 14:11:34,99.0,260.172
2018-05-18 14:11:35,96.0,258.408
2018-05-18 14:11:36,102.0,265.536
2018-05-18 14:11:37,122.0,270.18
2018-05-18 14:11:38,131.0,273.024
2018-05-18 14:11:39,115.0,273.024
2018-05-18 14:11:40,111.0,273.024
2018-05-18 14:11:41,114.0,267.37199999999996
2018-05-18 14:11:42,94.0,265.536
2018-05-18 14:11:43,109.0,261.936
2018-05-18 14:11:44,109.0,261.936
2018-05-18 14:11:45,98.0,261.036
2018-05-18 14:11:46,80.0,258.408
2018-05-18 14:11:47,77.0,256.716
2018-05-18 14:11:48,79.0,255.852
2018-05-18 14:11:49,73.0,253.332
2018-05-18 14:11:50,75.0,252.50400000000002
2018-05-18 14:11:51,79.0,252.50400000000002
2018-05-18 14:11:52,81.0,254.16
2018-05-18 14:11:53,95.0,255.852
2018-05-18 14:11:54,98.0,257.544
2018-05-18 14:11:55,99.0,252.50400000000002
2018-05-18 14:11:56,105.0,255.852
2018-05-18 14:11:57,110.0,254.16
2018-05-18 14:11:58,110.0,256.716
2018-05-18 14:11:59,118.0,257.544
2018-05-18 14:12:00,112.0,259.272
2018-05-18 14:12:01,101.0,258.408
2018-05-18 14:12:02,95.0,263.7
2018-05-18 14:12:03,93.0,260.172
2018-05-18 14:12:04,92.0,266.436
2018-05-18 14:12:05,94.0,266.436
2018-05-18 14:12:06,101.0,261.936
2018-05-18 14:12:07,102.0,261.936
2018-05-18 14:12:08,105.0,265.536
2018-05-18 14:12:09,113.0,260.172
2018-05-18 14:12:10,111.0,260.172
2018-05-18 14:12:11,106.0,255.024
2018-05-18 14:12:12,102.0,256.716
2018-05-18 14:12:13,95.0,257.544
2018-05-18 14:12:14,89.0,255.024
2018-05-18 14:12:15,87.0,254.16
2018-05-18 14:12:16,83.0,255.024
2018-05-18 14:12:17,90.0,255.852
2018-05-18 14:12:18,105.0,258.408
2018-05-18 14:12:19,118.0,259.272
2018-05-18 14:12:20,117.0,261.936
2018-05-18 14:12:21,117.0,259.272
2018-05-18 14:12:22,106.0,259.272
2018-05-18 14:12:23,110.0,257.544
2018-05-18 14:12:24,105.0,256.716
2018-05-18 14:12:25,108.0,258.408
2018-05-18 14:12:26,107.0,258.408
2018-05-18 14:12:27,108.0,258.408
2018-05-18 14:12:28,108.0,261.936
2018-05-18 14:12:29,107.0,261.036
2018-05-18 14:12:30,117.0,268.272
2018-05-18 14:12:31,122.0,277.956
2018-05-18 14:12:32,141.0,277.956
2018-05-18 14:12:33,143.0,280.98
2018-05-18 14:12:34,140.0,280.98
2018-05-18 14:12:35,146.0,278.928
2018-05-18 14:12:36,147.0,275.94
2018-05-18 14:12:37,143.0,277.956
2018-05-18 14:12:38,146.0,274.968
2018-05-18 14:12:39,152.0,280.98
2018-05-18 14:12:40,155.0,283.032
2018-05-18 14:12:41,140.0,283.032
2018-05-18 14:12:42,140.0,285.12
2018-05-18 14:12:43,128.0,286.164
2018-05-18 14:12:44,132.0,288.324
2018-05-18 14:12:45,142.0,288.324
2018-05-18 14:12:46,155.0,292.68
2018-05-18 14:12:47,162.0,291.564
2018-05-18 14:12:48,159.0,293.796
2018-05-18 14:12:49,159.0,292.68
2018-05-18 14:12:50,166.0,290.48400000000004
2018-05-18 14:12:51,170.0,290.48400000000004
2018-05-18 14:12:52,164.0,294.91200000000003
2018-05-18 14:12:53,151.0,296.028
2018-05-18 14:12:54,164.0,293.796
2018-05-18 14:12:55,160.0,304.2
2018-05-18 14:12:56,163.0,311.544
2018-05-18 14:12:57,178.0,314.09999999999997
2018-05-18 14:12:58,191.0,311.544
2018-05-18 14:12:59,188.0,315.36
2018-05-18 14:13:00,186.0,315.36
2018-05-18 14:13:01,178.0,306.61199999999997
2018-05-18 14:13:02,172.0,305.38800000000003
2018-05-18 14:13:03,167.0,306.61199999999997
2018-05-18 14:13:04,158.0,305.38800000000003
2018-05-18 14:13:05,148.0,305.38800000000003
2018-05-18 14:13:06,143.0,306.61199999999997
2018-05-18 14:13:07,144.0,309.06000000000006
2018-05-18 14:13:08,158.0,310.32
2018-05-18 14:13:09,163.0,311.544
2018-05-18 14:13:10,166.0,307.836
2018-05-18 14:13:11,159.0,310.32
2018-05-18 14:13:12,174.0,306.61199999999997
2018-05-18 14:13:13,181.0,306.61199999999997
2018-05-18 14:13:14,179.0,306.61199999999997
2018-05-18 14:13:15,160.0,306.61199999999997
2018-05-18 14:13:16,163.0,307.836
2018-05-18 14:13:17,161.0,305.38800000000003
2018-05-18 14:13:18,151.0,312.804
2018-05-18 14:13:19,146.0,317.988
2018-05-18 14:13:20,144.0,319.284
2018-05-18 14:13:21,160.0,317.988
2018-05-18 14:13:22,164.0,316.65599999999995
2018-05-18 14:13:23,160.0,316.65599999999995
2018-05-18 14:13:24,178.0,313.452
2018-05-18 14:13:25,181.0,310.32
2018-05-18 14:13:26,181.0,310.32
2018-05-18 14:13:27,160.0,310.32
2018-05-18 14:13:28,151.0,309.06000000000006
2018-05-18 14:13:29,142.0,307.836
2018-05-18 14:13:30,137.0,312.804
2018-05-18 14:13:31,143.0,315.36
2018-05-18 14:13:32,153.0,312.804
2018-05-18 14:13:33,159.0,311.544
2018-05-18 14:13:34,174.0,311.544
2018-05-18 14:13:35,185.0,310.32
2018-05-18 14:13:36,189.0,311.544
2018-05-18 14:13:37,185.0,310.32
2018-05-18 14:13:38,177.0,312.804
2018-05-18 14:13:39,164.0,312.804
2018-05-18 14:13:40,143.0,307.836
2018-05-18 14:13:41,140.0,315.36
2018-05-18 14:13:42,170.0,330.192
2018-05-18 14:13:43,172.0,331.632
2018-05-18 14:13:44,186.0,330.192
2018-05-18 14:13:45,221.0,321.948
2018-05-18 14:13:46,221.0,321.948
2018-05-18 14:13:47,221.0,321.948
2018-05-18 14:13:48,208.0,320.61600000000004
2018-05-18 14:13:49,194.0,321.948
2018-05-18 14:13:50,191.0,324.648
2018-05-18 14:13:51,199.0,323.28000000000003
2018-05-18 14:13:52,178.0,327.42
2018-05-18 14:13:53,188.0,327.42
2018-05-18 14:13:54,199.0,331.632
2018-05-18 14:13:55,210.0,334.476
2018-05-18 14:13:56,201.0,337.428
2018-05-18 14:13:57,202.0,327.42
2018-05-18 14:13:58,222.0,331.632
2018-05-18 14:13:59,241.0,334.476
2018-05-18 14:14:00,226.0,334.476
2018-05-18 14:14:01,229.0,340.38
2018-05-18 14:14:02,217.0,338.904
2018-05-18 14:14:03,263.0,352.8
2018-05-18 14:14:04,271.0,361.908
2018-05-18 14:14:05,275.0,367.92
2018-05-18 14:14:06,297.0,364.464
2018-05-18 14:14:07,318.0,364.464
2018-05-18 14:14:08,326.0,361.908
2018-05-18 14:14:09,343.0,362.772
2018-05-18 14:14:10,310.0,364.464
2018-05-18 14:14:11,238.0,364.464
2018-05-18 14:14:12,205.0,359.38800000000003
2018-05-18 14:14:13,188.0,362.772
2018-05-18 14:14:14,195.0,369.684
2018-05-18 14:14:15,219.0,367.92
2018-05-18 14:14:16,243.0,367.92
2018-05-18 14:14:17,255.0,367.92
2018-05-18 14:14:18,269.0,366.192
2018-05-18 14:14:19,261.0,359.38800000000003
2018-05-18 14:14:20,217.0,359.38800000000003
2018-05-18 14:14:21,202.0,356.076
2018-05-18 14:14:22,197.0,361.044
2018-05-18 14:14:23,186.0,366.192
2018-05-18 14:14:24,195.0,373.284
2018-05-18 14:14:25,210.0,374.184
2018-05-18 14:14:26,261.0,373.284
2018-05-18 14:14:27,291.0,366.192
2018-05-18 14:14:28,285.0,363.59999999999997
2018-05-18 14:14:29,244.0,366.192
2018-05-18 14:14:30,216.0,362.772
2018-05-18 14:14:31,194.0,359.38800000000003
2018-05-18 14:14:32,183.0,361.908
2018-05-18 14:14:33,186.0,366.192
2018-05-18 14:14:34,222.0,367.92
2018-05-18 14:14:35,226.0,369.684
2018-05-18 14:14:36,227.0,367.92
2018-05-18 14:14:37,245.0,366.192
2018-05-18 14:14:38,292.0,368.82
2018-05-18 14:14:39,275.0,366.192
2018-05-18 14:14:40,253.0,369.684
2018-05-18 14:14:41,224.0,364.464
2018-05-18 14:14:42,165.0,367.92
2018-05-18 14:14:43,209.0,374.184
2018-05-18 14:14:44,230.0,378.75600000000003
2018-05-18 14:14:45,249.0,383.472
2018-05-18 14:14:46,270.0,379.692
2018-05-18 14:14:47,289.0,375.084
2018-05-18 14:14:48,293.0,370.584
2018-05-18 14:14:49,282.0,371.48400000000004
2018-05-18 14:14:50,269.0,371.48400000000004
2018-05-18 14:14:51,251.0,376.92
2018-05-18 14:14:52,255.0,378.75600000000003
2018-05-18 14:14:53,283.0,386.352
2018-05-18 14:14:54,334.0,390.24
2018-05-18 14:14:55,339.0,384.408
2018-05-18 14:14:56,281.0,382.5
2018-05-18 14:14:57,370.0,386.352
2018-05-18 14:14:58,361.0,386.352
2018-05-18 14:14:59,327.0,390.24
2018-05-18 14:15:00,293.0,389.26800000000003
2018-05-18 14:15:01,268.0,396.252
2018-05-18 14:15:02,327.0,413.20799999999997
2018-05-18 14:15:03,394.0,418.78799999999995
2018-05-18 14:15:04,421.0,417.672
2018-05-18 14:15:05,481.0,419.93999999999994
2018-05-18 14:15:06,490.0,413.20799999999997
2018-05-18 14:15:07,488.0,416.52
2018-05-18 14:15:08,420.0,419.93999999999994
2018-05-18 14:15:09,406.0,418.78799999999995
2018-05-18 14:15:10,358.0,422.20799999999997
2018-05-18 14:15:11,338.0,431.676
2018-05-18 14:15:12,316.0,431.676
2018-05-18 14:15:13,374.0,431.676
2018-05-18 14:15:14,427.0,429.264
2018-05-18 14:15:15,452.0,421.056
2018-05-18 14:15:16,412.0,417.672
2018-05-18 14:15:17,293.0,414.28799999999995
2018-05-18 14:15:18,259.0,422.20799999999997
2018-05-18 14:15:19,270.0,430.452
2018-05-18 14:15:20,273.0,434.08799999999997
2018-05-18 14:15:21,340.0,430.452
2018-05-18 14:15:22,440.0,430.452
2018-05-18 14:15:23,417.0,419.93999999999994
2018-05-18 14:15:24,393.0,418.78799999999995
2018-05-18 14:15:25,300.0,419.93999999999994
2018-05-18 14:15:26,279.0,414.28799999999995
2018-05-18 14:15:27,207.0,415.404
2018-05-18 14:15:28,200.0,422.20799999999997
2018-05-18 14:15:29,292.0,426.88800000000003
2018-05-18 14:15:30,294.0,424.548
2018-05-18 14:15:31,351.0,419.93999999999994
2018-05-18 14:15:32,372.0,417.672
2018-05-18 14:15:33,301.0,413.20799999999997
2018-05-18 14:15:34,259.0,406.65599999999995
2018-05-18 14:15:35,183.0,402.444
2018-05-18 14:15:36,141.0,400.356
2018-05-18 14:15:37,109.0,398.26800000000003
2018-05-18 14:15:38,81.0,400.356
2018-05-18 14:15:39,78.0,385.38
2018-05-18 14:15:40,72.0,369.684
2018-05-18 14:15:41,67.0,366.192
2018-05-18 14:15:42,62.0,361.044
2018-05-18 14:15:43,53.0,356.076
2018-05-18 14:15:44,48.0,348.048
2018-05-18 14:15:45,49.0,343.404
2018-05-18 14:15:46,44.0,327.42
2018-05-18 14:15:47,38.0,315.36
2018-05-18 14:15:48,47.0,301.824
2018-05-18 14:15:49,47.0,301.824
2018-05-18 14:15:50,47.0,301.824
2018-05-18 14:15:51,48.0,298.33200000000005
2018-05-18 14:15:52,58.0,291.564
2018-05-18 14:15:53,64.0,290.48400000000004
2018-05-18 14:15:54,65.0,289.404
2018-05-18 14:15:55,74.0,288.324
2018-05-18 14:15:56,83.0,288.324
2018-05-18 14:15:57,86.0,285.12
2018-05-18 14:15:58,79.0,288.324
2018-05-18 14:15:59,75.0,286.164
2018-05-18 14:16:00,65.0,286.164
2018-05-18 14:16:01,77.0,285.12
2018-05-18 14:16:02,77.0,286.164
2018-05-18 14:16:03,106.0,283.032
2018-05-18 14:16:04,120.0,280.98
2018-05-18 14:16:05,128.0,279.936
2018-05-18 14:16:06,130.0,276.948
2018-05-18 14:16:07,118.0,276.948
2018-05-18 14:16:08,103.0,273.996
2018-05-18 14:16:09,96.0,274.968
2018-05-18 14:16:10,81.0,272.052
2018-05-18 14:16:11,69.0,270.18
2018-05-18 14:16:12,69.0,266.436
2018-05-18 14:16:13,77.0,265.536
2018-05-18 14:16:14,86.0,265.536
2018-05-18 14:16:15,92.0,269.20799999999997
2018-05-18 14:16:16,86.0,267.37199999999996
2018-05-18 14:16:17,92.0,265.536
2018-05-18 14:16:18,97.0,261.036
2018-05-18 14:16:19,92.0,260.172
2018-05-18 14:16:20,96.0,261.036
2018-05-18 14:16:21,107.0,262.8
2018-05-18 14:16:22,103.0,260.172
2018-05-18 14:16:23,83.0,257.544
2018-05-18 14:16:24,79.0,259.272
2018-05-18 14:16:25,84.0,262.8
2018-05-18 14:16:26,76.0,268.272
2018-05-18 14:16:27,76.0,266.436
2018-05-18 14:16:28,90.0,264.59999999999997
2018-05-18 14:16:29,105.0,263.7
2018-05-18 14:16:30,105.0,263.7
2018-05-18 14:16:31,109.0,259.272
2018-05-18 14:16:32,115.0,260.172
2018-05-18 14:16:33,119.0,259.272
2018-05-18 14:16:34,123.0,261.036
2018-05-18 14:16:35,115.0,261.036
2018-05-18 14:16:36,106.0,259.272
2018-05-18 14:16:37,96.0,259.272
2018-05-18 14:16:38,88.0,259.272
2018-05-18 14:16:39,81.0,259.272
2018-05-18 14:16:40,86.0,261.936
2018-05-18 14:16:41,99.0,261.936
2018-05-18 14:16:42,123.0,267.37199999999996
2018-05-18 14:16:43,123.0,264.59999999999997
2018-05-18 14:16:44,109.0,261.936
2018-05-18 14:16:45,114.0,261.036
2018-05-18 14:16:46,121.0,260.172
2018-05-18 14:16:47,125.0,261.036
2018-05-18 14:16:48,125.0,262.8
2018-05-18 14:16:49,115.0,262.8
2018-05-18 14:16:50,104.0,261.036
2018-05-18 14:16:51,94.0,259.272
2018-05-18 14:16:52,78.0,262.8
2018-05-18 14:16:53,83.0,267.37199999999996
2018-05-18 14:16:54,104.0,269.20799999999997
2018-05-18 14:16:55,116.0,273.996
2018-05-18 14:16:56,127.0,273.996
2018-05-18 14:16:57,134.0,271.116
2018-05-18 14:16:58,124.0,263.7
2018-05-18 14:16:59,107.0,262.8
2018-05-18 14:17:00,106.0,261.036
2018-05-18 14:17:01,106.0,264.59999999999997
2018-05-18 14:17:02,93.0,260.172
2018-05-18 14:17:03,93.0,261.036
2018-05-18 14:17:04,101.0,260.172
2018-05-18 14:17:05,99.0,265.536
2018-05-18 14:17:06,92.0,266.436
2018-05-18 14:17:07,102.0,267.37199999999996
2018-05-18 14:17:08,116.0,267.37199999999996
2018-05-18 14:17:09,124.0,269.20799999999997
2018-05-18 14:17:10,113.0,269.20799999999997
2018-05-18 14:17:11,114.0,262.8
2018-05-18 14:17:12,109.0,265.536
2018-05-18 14:17:13,102.0,263.7
2018-05-18 14:17:14,106.0,263.7
2018-05-18 14:17:15,95.0,262.8
2018-05-18 14:17:16,92.0,261.936
2018-05-18 14:17:17,83.0,258.408
2018-05-18 14:17:18,83.0,258.408
2018-05-18 14:17:19,95.0,265.536
2018-05-18 14:17:20,109.0,273.024
2018-05-18 14:17:21,122.0,274.968
2018-05-18 14:17:22,136.0,280.98
2018-05-18 14:17:23,151.0,280.98
2018-05-18 14:17:24,167.0,285.12
2018-05-18 14:17:25,174.0,284.076
2018-05-18 14:17:26,176.0,283.032
2018-05-18 14:17:27,173.0,279.936
2018-05-18 14:17:28,173.0,285.12
2018-05-18 14:17:29,171.0,284.076
2018-05-18 14:17:30,182.0,289.404
2018-05-18 14:17:31,191.0,293.796
2018-05-18 14:17:32,183.0,299.48400000000004
2018-05-18 14:17:33,182.0,298.908
2018-05-18 14:17:34,181.0,300.636
2018-05-18 14:17:35,176.0,307.836
2018-05-18 14:17:36,177.0,306.61199999999997
2018-05-18 14:17:37,185.0,301.824
2018-05-18 14:17:38,185.0,301.824
2018-05-18 14:17:39,185.0,304.2
2018-05-18 14:17:40,173.0,304.2
2018-05-18 14:17:41,160.0,304.2
2018-05-18 14:17:42,142.0,304.2
2018-05-18 14:17:43,145.0,309.06000000000006
2018-05-18 14:17:44,158.0,315.36
2018-05-18 14:17:45,164.0,320.61600000000004
2018-05-18 14:17:46,194.0,324.648
2018-05-18 14:17:47,206.0,321.948
2018-05-18 14:17:48,205.0,320.61600000000004
2018-05-18 14:17:49,211.0,316.65599999999995
2018-05-18 14:17:50,194.0,312.804
2018-05-18 14:17:51,179.0,311.544
2018-05-18 14:17:52,162.0,311.544
2018-05-18 14:17:53,162.0,311.544
2018-05-18 14:17:54,162.0,311.544
2018-05-18 14:17:55,159.0,311.544
2018-05-18 14:17:56,168.0,319.284
2018-05-18 14:17:57,195.0,317.988
2018-05-18 14:17:58,204.0,321.948
2018-05-18 14:17:59,206.0,324.648
2018-05-18 14:18:00,209.0,320.61600000000004
2018-05-18 14:18:01,175.0,314.09999999999997
2018-05-18 14:18:02,161.0,312.804
2018-05-18 14:18:03,145.0,310.32
2018-05-18 14:18:04,134.0,311.544
2018-05-18 14:18:05,117.0,306.61199999999997
2018-05-18 14:18:06,119.0,311.544
